t,u,v,w,p,q,r,X,Y,Z,phi,theta,psi,u_dot,v_dot,w_dot,p_dot,q_dot,r_dot
45.9,0.85867,0.10472,-0.0031225,-0.00050485,-0.00034603,-0.03136,36.127,-17.139,-1.9403,0.0086477,-0.015389,-1.2689,-0.001763,-0.00018301,-2.02E-05,-2.14E-06,1.30E-05,6.40E-05
46,0.85849,0.1047,-0.0031246,-0.00050506,-0.00034475,-0.031354,36.162,-17.218,-1.949,0.0086455,-0.015397,-1.272,-0.0017561,-0.00018339,-2.00E-05,-2.08E-06,1.29E-05,6.39E-05
46.1,0.85832,0.10468,-0.0031265,-0.00050526,-0.00034347,-0.031347,36.198,-17.296,-1.9576,0.0086432,-0.015404,-1.2752,-0.0017492,-0.00018376,-1.98E-05,-2.03E-06,1.28E-05,6.38E-05
46.2,0.85814,0.10466,-0.0031285,-0.00050546,-0.00034221,-0.031341,36.233,-17.376,-1.9663,0.008641,-0.015411,-1.2783,-0.0017423,-0.00018412,-1.96E-05,-1.98E-06,1.27E-05,6.37E-05
46.3,0.85797,0.10464,-0.0031304,-0.00050566,-0.00034095,-0.031335,36.268,-17.455,-1.975,0.0086388,-0.015418,-1.2814,-0.0017355,-0.00018446,-1.94E-05,-1.93E-06,1.26E-05,6.36E-05
46.4,0.8578,0.10463,-0.0031323,-0.00050584,-0.00033971,-0.031328,36.302,-17.534,-1.9837,0.0086365,-0.015425,-1.2846,-0.0017287,-0.0001848,-1.92E-05,-1.88E-06,1.25E-05,6.35E-05
46.5,0.85762,0.10461,-0.0031342,-0.00050603,-0.00033847,-0.031322,36.336,-17.613,-1.9925,0.0086343,-0.015432,-1.2877,-0.0017219,-0.00018512,-1.90E-05,-1.83E-06,1.24E-05,6.34E-05
46.6,0.85745,0.10459,-0.0031361,-0.0005062,-0.00033725,-0.031316,36.37,-17.693,-2.0012,0.008632,-0.015439,-1.2908,-0.0017151,-0.00018542,-1.88E-05,-1.78E-06,1.23E-05,6.33E-05
46.7,0.85728,0.10457,-0.003138,-0.00050638,-0.00033603,-0.031309,36.404,-17.772,-2.0099,0.0086297,-0.015446,-1.294,-0.0017084,-0.00018572,-1.86E-05,-1.73E-06,1.22E-05,6.32E-05
46.8,0.85711,0.10455,-0.0031398,-0.00050654,-0.00033482,-0.031303,36.438,-17.852,-2.0186,0.0086275,-0.015452,-1.2971,-0.0017016,-0.000186,-1.84E-05,-1.68E-06,1.21E-05,6.31E-05
46.9,0.85694,0.10453,-0.0031416,-0.00050671,-0.00033363,-0.031297,36.471,-17.931,-2.0274,0.0086252,-0.015459,-1.3002,-0.0016949,-0.00018628,-1.82E-05,-1.63E-06,1.20E-05,6.30E-05
47,0.85677,0.10451,-0.0031434,-0.00050687,-0.00033244,-0.03129,36.504,-18.011,-2.0361,0.0086229,-0.015465,-1.3033,-0.0016883,-0.00018654,-1.80E-05,-1.58E-06,1.19E-05,6.29E-05
47.1,0.8566,0.1045,-0.0031452,-0.00050702,-0.00033126,-0.031284,36.536,-18.091,-2.0449,0.0086206,-0.015471,-1.3065,-0.0016816,-0.00018679,-1.78E-05,-1.54E-06,1.18E-05,6.28E-05
47.2,0.85644,0.10448,-0.003147,-0.00050717,-0.0003301,-0.031278,36.569,-18.171,-2.0537,0.0086183,-0.015478,-1.3096,-0.001675,-0.00018702,-1.76E-05,-1.49E-06,1.17E-05,6.27E-05
47.3,0.85627,0.10446,-0.0031487,-0.00050731,-0.00032894,-0.031271,36.601,-18.251,-2.0624,0.008616,-0.015484,-1.3127,-0.0016684,-0.00018725,-1.74E-05,-1.44E-06,1.16E-05,6.26E-05
47.4,0.8561,0.10444,-0.0031504,-0.00050745,-0.00032779,-0.031265,36.633,-18.331,-2.0712,0.0086137,-0.01549,-1.3159,-0.0016618,-0.00018747,-1.72E-05,-1.40E-06,1.15E-05,6.25E-05
47.5,0.85594,0.10442,-0.0031521,-0.00050759,-0.00032665,-0.031259,36.665,-18.411,-2.08,0.0086114,-0.015495,-1.319,-0.0016552,-0.00018767,-1.70E-05,-1.35E-06,1.14E-05,6.24E-05
47.6,0.85577,0.1044,-0.0031538,-0.00050772,-0.00032552,-0.031253,36.696,-18.492,-2.0888,0.0086091,-0.015501,-1.3221,-0.0016487,-0.00018787,-1.68E-05,-1.31E-06,1.13E-05,6.23E-05
47.7,0.85561,0.10438,-0.0031555,-0.00050784,-0.0003244,-0.031247,36.727,-18.572,-2.0976,0.0086068,-0.015507,-1.3252,-0.0016422,-0.00018805,-1.66E-05,-1.26E-06,1.12E-05,6.22E-05
47.8,0.85545,0.10436,-0.0031571,-0.00050797,-0.00032329,-0.03124,36.758,-18.652,-2.1064,0.0086044,-0.015512,-1.3284,-0.0016357,-0.00018822,-1.64E-05,-1.22E-06,1.11E-05,6.20E-05
47.9,0.85528,0.10435,-0.0031587,-0.00050808,-0.00032219,-0.031234,36.789,-18.733,-2.1152,0.0086021,-0.015518,-1.3315,-0.0016292,-0.00018839,-1.62E-05,-1.18E-06,1.10E-05,6.19E-05
48,0.85512,0.10433,-0.0031603,-0.0005082,-0.0003211,-0.031228,36.819,-18.814,-2.124,0.0085998,-0.015523,-1.3346,-0.0016228,-0.00018854,-1.61E-05,-1.14E-06,1.09E-05,6.18E-05
48.1,0.85496,0.10431,-0.0031619,-0.00050831,-0.00032001,-0.031222,36.85,-18.894,-2.1328,0.0085974,-0.015528,-1.3377,-0.0016164,-0.00018868,-1.59E-05,-1.09E-06,1.08E-05,6.17E-05
48.2,0.8548,0.10429,-0.0031635,-0.00050841,-0.00031894,-0.031216,36.879,-18.975,-2.1416,0.0085951,-0.015534,-1.3409,-0.00161,-0.00018881,-1.57E-05,-1.05E-06,1.07E-05,6.16E-05
48.3,0.85464,0.10427,-0.0031651,-0.00050851,-0.00031787,-0.03121,36.909,-19.056,-2.1504,0.0085928,-0.015539,-1.344,-0.0016036,-0.00018894,-1.55E-05,-1.01E-06,1.07E-05,6.15E-05
48.4,0.85448,0.10425,-0.0031666,-0.00050861,-0.00031682,-0.031203,36.938,-19.137,-2.1593,0.0085904,-0.015544,-1.3471,-0.0015973,-0.00018905,-1.53E-05,-9.69E-07,1.06E-05,6.14E-05
48.5,0.85432,0.10423,-0.0031681,-0.0005087,-0.00031577,-0.031197,36.968,-19.218,-2.1681,0.0085881,-0.015548,-1.3502,-0.0015909,-0.00018916,-1.52E-05,-9.28E-07,1.05E-05,6.12E-05
48.6,0.85416,0.10421,-0.0031696,-0.00050879,-0.00031473,-0.031191,36.996,-19.299,-2.177,0.0085857,-0.015553,-1.3533,-0.0015846,-0.00018925,-1.50E-05,-8.89E-07,1.04E-05,6.11E-05
48.7,0.854,0.10419,-0.0031711,-0.00050888,-0.0003137,-0.031185,37.025,-19.38,-2.1858,0.0085833,-0.015558,-1.3565,-0.0015784,-0.00018934,-1.48E-05,-8.49E-07,1.03E-05,6.10E-05
48.8,0.85384,0.10417,-0.0031725,-0.00050896,-0.00031268,-0.031179,37.053,-19.461,-2.1947,0.008581,-0.015563,-1.3596,-0.0015721,-0.00018942,-1.46E-05,-8.10E-07,1.02E-05,6.09E-05
48.9,0.85369,0.10416,-0.003174,-0.00050904,-0.00031167,-0.031173,37.081,-19.542,-2.2035,0.0085786,-0.015567,-1.3627,-0.0015659,-0.00018948,-1.45E-05,-7.71E-07,1.01E-05,6.08E-05
49,0.85353,0.10414,-0.0031754,-0.00050911,-0.00031066,-0.031167,37.109,-19.624,-2.2124,0.0085762,-0.015571,-1.3658,-0.0015597,-0.00018954,-1.43E-05,-7.33E-07,1.00E-05,6.06E-05
49.1,0.85338,0.10412,-0.0031768,-0.00050918,-0.00030966,-0.031161,37.137,-19.705,-2.2213,0.0085739,-0.015576,-1.3689,-0.0015535,-0.00018959,-1.41E-05,-6.95E-07,9.96E-06,6.05E-05
49.2,0.85322,0.1041,-0.0031782,-0.00050924,-0.00030868,-0.031155,37.164,-19.787,-2.2301,0.0085715,-0.01558,-1.3721,-0.0015473,-0.00018964,-1.39E-05,-6.58E-07,9.88E-06,6.04E-05
49.3,0.85307,0.10408,-0.0031796,-0.00050931,-0.0003077,-0.031149,37.191,-19.868,-2.239,0.0085691,-0.015584,-1.3752,-0.0015412,-0.00018967,-1.38E-05,-6.21E-07,9.79E-06,6.03E-05
49.4,0.85291,0.10406,-0.003181,-0.00050936,-0.00030673,-0.031143,37.218,-19.95,-2.2479,0.0085667,-0.015588,-1.3783,-0.0015351,-0.0001897,-1.36E-05,-5.85E-07,9.71E-06,6.01E-05
49.5,0.85276,0.10404,-0.0031823,-0.00050942,-0.00030576,-0.031137,37.245,-20.032,-2.2568,0.0085643,-0.015592,-1.3814,-0.001529,-0.00018971,-1.34E-05,-5.49E-07,9.63E-06,6.00E-05
49.6,0.85261,0.10402,-0.0031836,-0.00050947,-0.00030481,-0.031131,37.271,-20.114,-2.2657,0.008562,-0.015596,-1.3845,-0.0015229,-0.00018972,-1.33E-05,-5.13E-07,9.55E-06,5.99E-05
49.7,0.85246,0.104,-0.0031849,-0.00050952,-0.00030386,-0.031125,37.297,-20.195,-2.2746,0.0085596,-0.0156,-1.3876,-0.0015168,-0.00018973,-1.31E-05,-4.78E-07,9.46E-06,5.98E-05
49.8,0.85231,0.10399,-0.0031862,-0.00050956,-0.00030292,-0.031119,37.323,-20.277,-2.2835,0.0085572,-0.015604,-1.3907,-0.0015108,-0.00018972,-1.29E-05,-4.43E-07,9.38E-06,5.96E-05
49.9,0.85216,0.10397,-0.0031875,-0.0005096,-0.00030199,-0.031113,37.348,-20.359,-2.2924,0.0085548,-0.015607,-1.3939,-0.0015048,-0.00018971,-1.28E-05,-4.08E-07,9.30E-06,5.95E-05
50,0.85201,0.10395,-0.0031888,-0.00050964,-0.00030107,-0.031107,37.373,-20.441,-2.3013,0.0085524,-0.015611,-1.397,-0.0014988,-0.00018968,-1.26E-05,-3.74E-07,9.22E-06,5.94E-05
